	Component_1	Component_2	Component_3	Component_4	Component_5	Component_6	Component_7	Component_8	Component_9	Component_10	Component_11	Component_12	Component_13	Component_14	Component_15	Component_16	Component_17	Component_18	Component_19	Component_20	Component_21	Component_22	Component_23	Component_24	Component_25	Component_26	Component_27	Component_28	Component_29	Component_30	Component_31	Component_32	Component_33	Component_34	Component_35	Component_36	Component_37	Component_38	Component_39	Component_40	Component_41	Component_42	Component_43	Component_44	Component_45	Component_46	Component_47	Component_48	Component_49	Component_50	Component_51	Component_52	Component_53	Component_54	Component_55	Component_56	Component_57	Component_58	Component_59	Component_60	Component_61	Component_62	Component_63	Component_64	Component_65	Component_66	Component_67	Component_68	Component_69	Component_70	Component_71	Component_72	Component_73	Component_74	Component_75	Component_76	Component_77	Component_78	Component_79	Component_80	Component_81	Component_82	Component_83	Component_84	Component_85	Component_86	Component_87	Component_88	Component_89	Component_90	Component_91	Component_92	Component_93	Component_94	Component_95	Component_96	Component_97	Component_98	Component_99	Component_100	label
GSM6249375	0.37141412	0.047117542	-0.43620998	0.20567876	-0.37729096	1.011187	-0.5293571	-0.047062907	-0.03463581	0.36626703	-0.32332477	0.30214828	0.11064475	0.63416016	-0.104268156	-0.026091488	0.7078178	0.57136023	-0.33225012	-0.46230143	-0.19952327	-0.9056604	0.41527396	-0.32466838	-0.22682138	0.1452964	-0.32920608	-0.36639675	-0.5515471	0.81811833	0.010625308	0.71738464	0.823468	-0.65447366	-0.63619095	0.4202597	0.47717145	1.6044742	0.6575689	0.08792363	-0.09348385	-0.40594232	0.99065423	0.3137633	-1.003148	-0.0055679004	-0.8735748	0.4400499	0.7457238	-0.38724464	0.77301383	-0.72599596	-0.97251135	0.5796578	0.31301785	-0.6892876	0.007130543	-0.6058331	0.30426526	-0.114929266	-0.33394054	-0.8847049	-0.14575751	-0.43963817	-0.22537898	0.98263466	0.2203505	-0.043203376	0.43105146	-0.10822989	-0.93652	-0.50527847	0.11284753	0.5324419	0.47011843	0.22946118	-0.5094995	-0.19835015	-0.3574752	0.23907363	-0.86771697	-0.6788467	-0.24077162	-1.1916978	0.44201952	0.17931218	-0.010176437	0.2649784	-0.04564128	-0.12436659	0.46232876	0.6948531	-0.06993171	0.5739617	-0.34989008	0.4671444	-0.29112732	-0.5877324	-0.42977342	-0.2989754	0.0
GSM6249376	0.8928155	-0.5287094	-0.21986407	0.23514466	-0.18255371	-0.07801749	-1.0196918	0.28408936	-0.1402528	0.41668478	0.23974876	0.64713746	0.038602594	-1.2148067	0.37814775	-0.19917957	-0.17820871	-0.53106976	0.3149272	0.6449886	0.20836133	-0.459373	-0.16974618	-1.0316923	0.06287889	0.8764373	-0.12307675	-0.26499617	-0.17194451	0.4438041	0.026956951	0.2003554	-0.35161316	0.8989014	-0.3041663	0.78170925	-0.5630428	0.2731203	0.52280426	0.48426986	0.15194719	0.25481454	0.9997224	0.031722505	-0.3451243	0.70639604	0.2033952	0.5036728	0.22021905	-0.35297894	-0.050718006	0.22986399	0.54149896	-0.67298174	0.2940692	-0.7956616	0.13857578	-1.093346	-0.12907568	-0.12333627	-0.26596066	-0.12021845	-0.08810923	-1.1584195	0.22024181	1.0874282	0.45488772	0.2567847	0.40497854	0.13798071	0.4160743	-1.0907662	-0.47657457	-0.18189867	0.56346095	0.2833902	-0.73037547	-0.07877196	0.24575076	-0.19270577	-0.618648	0.11670365	-0.09920254	-0.94967973	0.02087787	-0.15630093	0.11861587	-0.019907381	-1.3487583	0.07177832	0.40622604	0.6575517	-0.1832041	0.5205868	-0.22838022	-0.49043217	1.5913754	-0.36405137	-0.1755277	-0.07505446	0.0
GSM6249378	0.8079555	0.4527035	-0.19900443	0.03545814	-0.03729613	0.31253794	0.020255582	0.25110307	0.018981617	-0.10791213	-0.8025748	-0.2837426	0.43429548	0.15086351	0.47602946	0.26394826	-0.685606	0.19980115	-0.36623463	-0.13024047	0.596995	0.46411794	0.0046573244	-0.3730378	-0.046469823	0.06704277	-0.17909986	-0.04224419	0.82364416	0.2921317	-0.16373467	-0.3562209	0.17964803	0.23696627	0.3151296	-0.11968556	-0.13978513	-0.26523435	-0.48146242	0.2571608	0.15383035	0.19938836	-0.49205816	-0.1459877	-0.13088372	0.55040497	0.038995378	-0.03507989	-0.49454364	-0.23245028	-0.23964034	-0.10296639	-0.23444355	-0.41685542	-0.16245793	0.4275949	0.51393753	-0.1923473	-0.425331	-0.3739351	-0.09405826	0.15728325	-0.2026128	0.25531143	-0.11167065	0.24135426	0.16093093	-0.44585973	-0.48305333	-0.05385928	0.08440388	0.08833687	-0.20383112	0.09044325	0.3594453	0.86599773	-0.8883277	-0.06349894	0.290228	-0.20785347	-0.20936927	-0.44740984	-0.116114706	0.2014931	-0.2883933	0.67218876	0.075844154	-0.37594593	-0.060535125	-0.40333122	0.00950194	-0.07169075	0.1623628	0.47527158	-0.19685248	0.08908207	0.12772097	0.5832302	-0.20907225	-0.24163911	0.0
GSM6249379	0.4039073	0.059646443	-0.15274477	0.20445795	0.10321727	0.4131411	0.1275999	-0.35139054	0.0009175083	-0.23058338	-0.22574718	0.1851839	-0.7506574	0.052083742	-0.3786743	0.49267092	0.061992794	-0.62562984	-0.6819145	-0.14644839	0.49765354	0.21970953	0.06662985	-0.070559114	1.0022025	-0.21381609	0.19941826	0.3354794	-0.2789012	-0.119252436	0.45119783	0.5682233	0.20822528	-0.45898116	0.521341	-0.7147225	-0.32309818	0.51292944	-0.3535937	0.33626643	-0.09768859	0.63939387	-0.27033457	0.22854309	-0.24469332	0.12275131	-0.32113117	-0.578412	-0.25834623	-0.19358146	-0.14084367	0.18825287	-0.18238406	0.2930062	-0.35337856	0.3972935	0.07476262	-0.15615506	0.04298336	-0.2542857	0.08904129	-0.5789982	-0.27452073	-0.6769571	-0.104323834	-0.5044498	-0.42578492	0.040682323	-0.47437552	0.021255001	0.008574226	-0.14453574	-0.06749732	0.03702673	0.15372062	0.68225324	0.96048516	0.061488885	-0.4884533	-0.30989715	0.7321987	-0.13431452	0.6756901	0.123078845	0.54570264	0.5705859	0.14311591	0.04627886	0.31446263	-0.44496047	-0.4821685	-0.781016	-0.021830859	-0.05504911	-0.17142405	-0.5380897	0.68343943	0.23983167	-0.3245267	0.15596858	0.0
GSM6249382	0.2730108	-0.48730087	0.44558212	0.12112969	0.41045442	0.25432488	0.053187262	0.13320139	-0.67473453	0.44159997	-0.10524152	-0.11452583	-0.32920492	-0.08677232	0.39510483	0.0031803972	0.13095544	-0.6016643	-0.19621052	-0.5249698	-0.7116265	-1.09141	-0.047581952	0.26207593	0.25862366	0.1850299	0.058496807	0.04844338	-0.14770934	0.13713396	-0.39862925	-0.18135037	-0.02661459	-0.52294374	-0.048462573	0.11043276	0.42682818	0.8515551	0.35754576	0.40125188	-0.017851477	-0.86697686	0.7992297	-0.57881975	0.150718	0.35490108	0.038278397	-0.8986678	0.42845494	0.25634018	0.24256283	-0.7424865	0.015952129	-0.049219575	0.2993418	0.19402924	-0.13119091	0.26803157	-0.3316605	0.0756147	0.19792905	0.7175728	0.21479483	-0.6962567	-0.40021938	1.2386374	0.08669833	0.34359884	0.13824101	0.37116697	0.8374397	0.28858867	0.22572303	0.41181523	-0.633609	-0.35463372	-1.1911652	-0.2220535	-0.13310592	-0.28887108	0.49821553	0.19009535	-0.8793173	0.48279256	0.6534656	-1.1583433	-0.8182921	0.48701012	-0.5133992	-0.7166865	0.45381683	-0.2836643	0.020807695	0.25075495	0.045906074	0.25954372	0.13151741	-0.50848496	0.72536504	-0.34748623	0.0
GSM6249383	0.016933743	0.023860037	-0.071536824	-1.0259855	0.591581	0.45535532	-0.22982652	0.5218158	0.8103676	0.23691604	-0.098575026	0.2840445	-0.5563918	-0.30254072	0.01327125	0.042379525	-0.10791989	-0.6029085	0.20214014	0.14277191	-0.091387026	-0.32487696	0.15576476	-0.6703165	0.9471405	-0.4074008	0.6843603	-0.19178164	0.5295591	0.38631645	0.7251145	-0.030673234	-0.1523329	0.2821176	-0.54534006	-0.8127614	-0.24154226	0.823797	0.9498294	0.3610705	-0.5292569	-0.28323177	0.9095066	-0.32195657	-0.002154235	0.97787416	0.9184975	-0.48862576	1.43573	0.29801747	-1.0079471	-0.2321916	-0.5365969	-0.4055992	0.41383415	0.66265917	1.235286	0.24454376	-0.2657467	0.9185303	0.01384634	0.2541685	-0.6818117	0.42738357	0.7233694	0.5817052	-0.76822466	0.46271887	-0.6433491	0.484909	-1.2030793	-0.21549334	0.47619513	-0.10907161	0.4866723	0.3622868	0.12431194	-1.2777033	-1.0300913	0.44653946	0.160408	-0.38889942	-0.9946346	-0.34487924	0.286034	0.22962883	0.5582018	0.14801483	-0.27570534	-0.39594296	0.48735467	0.40519089	-0.25620398	-0.032673284	0.76705235	0.10517485	0.1373243	0.028184237	0.84850836	-0.002364028	0.0
GSM6249385	0.5160883	0.6236099	-0.13607946	0.455211	0.1504762	-0.15399489	-0.2490637	-0.012467144	0.27351025	-0.14709827	0.7101378	-0.3681005	0.23322359	-0.71054274	-0.9077372	-0.06914468	0.2334254	0.48667303	0.6773957	0.32247025	-0.23738003	-0.5893152	0.29704246	0.8156076	0.326927	-0.123367526	0.4797444	-0.97201383	-0.23952518	0.29845133	-0.01607421	-0.5091074	0.009437253	0.6144935	-0.21132165	-0.4311086	-0.074042805	0.1771601	0.9505049	-0.09119395	-1.6908412	-0.45201996	-0.24833938	0.9202179	-0.13497932	-0.5920329	1.1533237	1.0091124	0.7654337	0.7705618	-0.336578	1.045111	0.06812256	0.82570875	0.5771821	0.23299457	0.9690559	-0.43561605	0.058572672	-0.2184447	0.08484406	-0.46285307	0.1119133	0.16548403	0.13819164	1.3960124	-1.0690966	-0.72270465	0.20111923	-0.93920183	-0.24899395	0.6407382	-0.073095284	0.87124693	-0.26894167	-0.21449119	0.21025114	0.1871167	0.042327285	0.7393921	0.009416048	-0.1829207	0.37043756	0.63181883	0.7638017	-0.2794592	0.18225558	-0.4871223	1.0370488	0.39021984	0.24595279	0.37950787	-0.50290066	-0.45202777	0.18742648	0.39115757	-0.28349704	0.22079156	-1.0845703	-0.021414917	1.0
GSM6249386	-0.56344706	-0.2257514	0.030399326	-0.47143924	0.47455552	0.28624153	0.85799503	0.16740344	0.66684157	0.13694876	-0.27103162	0.42886695	0.44961384	-0.31651774	0.28144228	0.11200245	-0.30263114	-0.22122759	-0.20777658	0.2749429	0.06022868	-0.085228056	-0.12829632	-0.26122138	0.29118696	-0.7457655	0.031893663	-0.27036425	-0.25500694	-0.2686342	1.1852604	0.35367233	-0.69328046	-0.09845059	0.5036066	-0.299375	-0.26978257	0.39036933	-0.43154564	-0.60969704	0.14862671	-0.39392117	0.12193272	-0.3524563	0.50524306	-0.44588935	0.4941952	0.7618657	-0.022052556	-0.22849993	0.4289308	0.27659142	-0.52106726	-0.086529516	1.0946081	-0.61939436	-0.13917564	-0.544295	-0.15272358	-0.24634008	-0.24039699	0.19710708	-0.2631346	0.037017405	-0.20816977	-0.48773274	0.09791311	0.18848535	0.68387175	0.8248121	0.06931336	0.28671807	-0.11258597	0.32323492	-0.652379	-0.40496314	0.46818605	0.520958	-0.0031659007	0.1899412	0.15515547	-0.2591679	-0.520206	-0.6367397	0.5884454	-0.6505759	-0.29339483	-0.47854123	-0.24187969	0.45096982	0.089728944	0.9080029	-0.25151306	0.221639	0.21098696	-0.27638057	0.4184922	0.3777058	-0.30817398	0.027892837	0.0
GSM6249389	0.28192773	0.43997484	-0.42655098	-0.013980037	0.2689862	0.49830946	0.3450849	0.5243628	-0.40148464	0.35601622	0.04256192	-0.6808837	1.0742074	0.15257649	0.44620582	0.043420497	0.31745893	-0.29894403	-1.1449674	-0.93882143	-0.83047897	-0.09529406	-0.5877628	0.5258525	0.046271782	0.21955518	-0.529193	-0.95855606	0.21812549	-0.019147405	0.08308656	-0.8469577	0.58289737	-0.43647352	-0.37268245	0.96544355	1.0146967	0.22894104	0.5123474	0.895062	-0.29387003	-0.26792628	-0.08430226	0.4318676	-0.23252518	-0.70593476	0.44636515	0.40557733	0.5476125	0.09039309	-0.93089837	0.27705747	-0.23397277	0.8392298	-0.006525153	-0.33885628	0.3523134	0.15459993	-0.025826385	-0.83974564	0.6844093	0.45427993	0.52012086	-0.2685833	-1.2687622	0.39283717	-0.043692674	-0.053072125	-0.5632822	0.12236499	0.48851633	-0.4958219	-0.04950966	-0.20582828	-0.52714914	0.25820023	-1.2145158	0.0488695	0.74087495	-0.35790923	-0.48713803	-0.43683293	0.95141083	0.06788011	0.9212246	-0.16080733	-0.6915306	-0.13711289	0.35030502	0.24271677	-0.096206434	0.45019397	-0.28156498	-0.06435014	0.11543158	-0.62530565	-0.14903224	-0.005869765	-0.42007872	0.22028416	0.0
GSM6249390	0.13297677	-0.049486127	-0.053309783	-1.1901774	0.3032941	0.057570662	-0.14623319	0.40525922	-1.0949985	1.1932446	0.29996464	-0.7736783	-0.03133728	0.6182144	0.044151288	0.25056618	0.2150115	0.4599694	-0.2040863	0.42053446	0.37979838	-0.11478412	-0.1820326	-0.39182937	-0.21177712	0.42233935	-0.07011774	-0.67526263	-0.050941743	0.73313385	-0.5374619	0.59235686	-0.19784093	0.87018913	-0.21219438	0.5549727	-0.6908332	0.006578901	-0.23993032	-0.1894917	-0.12945154	-0.06331621	0.40647316	0.5041667	0.2691013	0.34101304	0.52347195	0.10885402	-0.30409566	0.8126007	0.72092086	-0.28322372	-0.34169653	0.68150926	0.23360512	0.3714678	0.6681389	0.2802786	-0.044448845	-0.17002746	-0.80717796	-0.11900089	-0.08277781	-1.3447096	-0.49789855	1.2263527	-0.67661047	0.20907417	-0.7566865	0.30061233	0.55828637	0.8285325	-0.35607386	-0.04755536	-0.10142331	0.027659403	0.0014579205	-0.45952234	0.10579077	0.25664228	-0.06265429	-0.49612284	-0.2067532	0.20249245	0.33506408	0.39826882	-0.9650374	-0.5662839	0.42617616	-1.362978	1.1446824	-0.5637817	-0.16188033	-0.41526532	0.643501	-0.10531561	-0.88548005	0.50733775	-0.37712324	0.27842858	1.0
GSM6249391	-0.6871165	-0.12258121	-0.3340596	0.079402916	0.54908514	0.03773661	-0.519369	0.20038302	-1.132509	-0.007993041	0.8671182	0.13826062	0.92298996	0.0029310656	-0.3172053	-0.19469528	0.39467928	-0.24666998	-0.08307099	-0.6339	0.007582478	-0.46387962	0.10264395	0.41955984	0.786786	1.0024989	-0.54677546	-1.0487676	-0.6617193	-1.3964611	-0.4174762	-0.55992377	0.085837565	0.33972982	-0.40137118	0.22036865	0.13595645	0.13071099	1.0681196	-0.037822865	-0.1727328	0.4715569	0.14567506	-0.32497424	0.15624797	0.47541985	-0.34519678	-0.048329927	0.36632824	-0.6434696	-0.043681413	0.08393232	0.56417996	-0.625654	-0.62889063	0.85499537	-0.050140597	-0.57857627	-0.30423388	0.55559945	0.4949948	-0.043537166	-0.84939337	-0.16239224	0.48024186	0.27896872	0.20761523	0.08226364	-0.78889114	-0.43751946	0.118027076	0.046763398	-0.007165674	-0.53036356	-0.03478845	0.055343803	-0.14296223	-0.13555256	-0.32422838	0.06079795	-0.03634515	-1.0227307	-0.5421383	-0.6017121	-0.06077688	0.7627523	-0.32182395	0.34944773	0.5769599	-0.20415305	-0.027942266	-0.06172752	-0.8319401	0.64881194	-0.064002	0.39559552	-0.3265744	-1.1513075	0.025632672	-0.07420731	0.0
GSM6249392	0.6352572	-0.17509656	0.4736991	-0.06805038	-0.010845811	0.6148958	-0.38246268	-0.95026916	-0.23621286	0.8018278	-0.75670385	0.6818172	-0.24497284	-0.8331422	-0.16166095	0.7353137	-0.15994619	-0.7404035	-0.28897	-0.5700242	0.2930008	-0.09338155	-0.15085015	-0.73590565	0.20161772	0.032956302	0.27421567	0.7792927	-0.12677911	-0.64715135	0.3579948	-0.16963783	0.033485763	0.22265324	0.25896183	-0.96113235	-0.027347831	-0.2715618	0.33007085	-0.29058093	0.07469772	0.15873855	0.44295263	0.37269503	0.21920043	0.3679865	0.2585303	-1.0598893	-0.51962477	0.29755244	-0.9616987	0.07440294	-1.2419376	0.30072808	0.2801283	0.7471789	1.3234336	0.55338	-0.8452298	-0.6460433	-0.13779536	0.1525306	-0.08253413	-1.0210012	-0.14176492	0.8024758	0.35290644	-0.058586713	-0.78494185	-0.6939674	0.94451416	0.3373012	0.9821961	0.17118414	-0.7692377	0.08590963	-0.41078064	-1.1662648	-0.14044859	-0.009274031	-0.9363996	-0.07356097	0.77967626	-0.5179353	0.37322047	0.49340978	-0.2029702	0.25866672	-0.5733888	1.0408015	-0.364193	0.3160198	-0.38263267	0.5794479	-1.2522044	0.098994955	0.39555588	0.2555641	-0.6334251	-0.68363756	1.0
GSM6249393	0.53947157	-0.6852464	-0.17385367	0.8082547	0.1679333	1.0626308	-0.31841204	-0.10960401	-0.3326421	0.0884849	0.1278816	0.022625053	-0.7921705	0.77792233	-0.769547	0.27013516	-0.5856991	0.030221332	0.20928136	0.8906557	0.3896444	-1.213227	-0.2956318	0.6129046	0.13980192	-0.40260193	-0.15956251	-0.65062785	-0.09973944	0.37728596	-0.8161356	-0.03936919	0.20067777	-0.464271	0.18346588	0.24502385	-0.046780832	1.1074859	-0.21934305	0.12925893	-0.6621923	-0.2958009	0.4057383	0.91392875	-0.31243405	0.5160561	0.088290356	-0.33532655	0.31500044	0.30467027	-0.37249577	1.2742234	-0.295324	-0.45046467	-0.49569008	0.14478701	0.48889706	0.35868087	0.508943	0.63266504	0.69647217	-0.0024730947	-0.569064	0.18216667	-0.38252842	1.2409263	-0.77197903	-0.4107971	-0.19750382	-0.5376207	-0.4040859	0.21027781	0.7662974	1.017592	-1.2134434	-0.092380434	-0.57314086	-0.4006976	0.37045705	-0.1053363	0.5403877	-0.8373322	-0.46507302	0.45208988	-0.43907073	-0.22038841	-0.60161334	1.2007399	0.2359356	-0.80383754	0.80911624	-0.15458103	0.4671167	0.90868425	-0.28641507	0.6874729	-0.14284684	-0.0369454	0.10711497	0.4780493	0.0
GSM6249395	-0.26391163	0.11092699	0.33792725	-0.78654677	-0.36644718	-0.045409516	-0.0292543	-0.17030938	0.48256963	-0.9228353	0.4343277	-0.20131308	-0.08141861	0.31463248	-0.44559532	-0.52069014	-1.1050881	-0.33200654	0.32160103	0.14656958	-0.250336	0.24911551	-0.34767726	-0.06856639	0.2333774	-0.4236846	-0.046114393	0.2430189	-0.050030224	-0.3906533	0.50573653	0.6017798	0.62954605	0.20852406	0.6183432	-0.64718777	0.54394895	0.43939534	-0.57519066	0.44048664	0.25725725	1.0039245	-0.22757792	-0.18776329	0.0844465	0.45949253	-0.30351657	-0.3763226	0.61310244	-0.80914474	0.22695084	0.43208367	-1.1266713	-0.8107434	0.41828197	0.61552685	0.49740124	-0.561546	0.5383333	0.77081287	-0.008986165	-0.6572469	-0.57952976	-0.15166786	0.103659205	-0.08732544	-0.197471	0.30565754	0.03967056	0.27367064	0.07443241	0.027121728	0.18797417	0.938924	0.015569789	-0.0034381435	0.17761454	-0.13506448	0.26944712	-0.20716344	0.0007929173	-0.20240414	-0.28444594	0.43711302	-0.17818855	-0.46379426	0.108752154	0.2710092	-0.6189167	-0.54379714	0.52253723	0.5019612	0.7010563	1.1141171	0.5311161	-0.018238286	-0.0081233075	-0.36676782	0.5620938	0.7569448	0.0
GSM6249396	-0.46695334	-0.3582746	-0.8421826	-0.098397076	-0.110655725	-0.36308065	-0.5436788	-0.23152871	-0.6199012	-0.11130998	0.16011332	0.26009026	0.036713913	-0.18793602	-0.02010928	-0.5263654	0.30293563	-0.27229714	-0.6871813	0.104167685	-0.9247774	-0.5526837	-0.53924155	0.1271685	0.13930131	-0.30694392	-0.80390584	-0.6822464	-0.34017232	0.91186446	0.15824622	0.5519151	-0.48125032	-0.4946012	0.30794048	0.102893464	-0.072238535	-0.2422704	-0.04296185	0.06993929	-0.09050621	0.31632578	-0.27946305	0.68926144	-0.24643879	0.12565011	0.46360245	-0.19700862	-0.1877831	-0.16477126	-0.8360255	-0.21732415	0.41277215	-0.17614959	-0.27926555	0.6154031	-0.24740036	-0.37163493	-0.61179626	-0.3055564	0.43709204	-0.83224237	0.33511436	0.67814344	0.2150155	-1.1915241	-0.23376815	-0.07348627	-0.35005	-1.2832893	-0.448987	-0.12871902	-0.30471766	-0.32755262	0.21566181	0.22316715	0.34681594	-0.44009998	-0.41370678	-0.40598017	0.38429505	0.44676837	0.7323768	0.66880214	0.1956675	-0.08198221	-0.17233221	0.2869056	0.32436728	0.4370905	0.13076496	0.10203394	0.16061045	-0.18046296	0.039156884	0.44572395	0.06884688	0.04007668	-0.005989185	-0.1112048	0.0
GSM6249397	0.0015359488	-0.33858925	-0.278568	-0.06132296	0.4231756	0.31445366	0.007699392	0.67301184	0.6933819	0.7397787	-0.064371035	-0.26547262	-0.6456541	-0.9830989	-1.1198745	0.18263434	-0.31914955	0.48598108	-0.16293599	-0.10019974	-0.5157485	-0.6524532	-0.89718163	0.73814636	-0.13152397	-0.61520916	-0.45992434	0.6036266	-0.2275576	0.76999414	0.4495245	-0.58443445	0.37528044	-0.20599888	0.11238097	-0.040547367	0.38330534	0.5178009	0.11117204	0.11239524	0.24929164	-0.120674565	-0.56590295	0.5828948	-0.15630883	0.70984125	-0.12960297	0.2715587	0.012641806	0.1096463	-0.75975126	-0.1408136	-0.35063896	0.6425562	-0.57434464	-0.41581634	0.07426925	-0.91550994	0.01745694	-0.4912275	0.43428013	0.041452155	-0.26079088	0.00639721	-0.6034133	0.26393384	-0.39339775	-0.4828058	0.18395995	-0.33097303	0.05121962	-0.5952792	0.2049777	-0.24728219	-0.36578038	-0.29282242	-0.17967914	-0.69073725	1.0658566	-0.30580485	-0.19351386	-0.56230474	0.6238638	0.8118861	-1.5497472	1.0449948	-0.7599828	-0.18139137	-0.18032128	-0.114727594	-0.2111429	-0.22358738	0.6119429	0.061630134	-0.2343467	0.6238642	-0.19753607	-1.0430034	-1.0494417	0.48473835	0.0
GSM6249399	-0.39004236	-0.4638043	-1.0423307	-0.19897692	0.36093825	-0.01002586	-0.76049143	-0.49705526	0.80255204	-0.12935634	-0.14928372	0.91743004	-0.35589725	-0.5027778	0.7199139	-0.23469575	0.22019883	-0.49206504	0.10471375	0.14261016	0.490695	-0.57747376	0.038261823	0.017314807	-1.251608	-0.18024233	0.044161387	-0.73555356	0.5476278	0.33316895	-0.36565873	0.46242592	0.02148492	-0.65255535	0.10554035	0.47708482	-0.5580052	0.3469108	-0.088097945	0.13642207	-0.09291154	-0.66969544	-0.18734612	0.25156978	0.349406	0.22636342	-0.1535168	-0.583306	0.7518294	-0.23335257	-0.526389	0.6397855	0.858524	0.15002385	-0.066501044	1.1871228	0.048856407	-0.022247063	0.009253352	-0.2265919	1.0424807	-0.22428878	0.26562586	-0.19985387	0.32313675	0.044069853	0.16004515	0.1144821	-0.8807648	-0.11894653	0.13486649	-0.39818963	-0.3177456	-0.08899238	-0.046816405	0.3374183	0.91234076	-0.049953382	0.02901486	0.40745533	-0.7134309	-0.3230027	0.3697391	-0.67084783	-0.075086355	-0.15411405	-1.021522	-0.037314415	-0.019321697	-0.2404351	-1.0430733	-0.17520954	-0.59664917	-0.8524086	0.14981076	-0.29553688	-0.3469722	-0.04646545	0.5552191	-0.19308525	0.0
GSM6249400	-0.7550412	-0.7199444	0.28791508	-0.7351941	0.86272264	-0.027097372	-1.0270708	0.3447102	-0.6342467	0.7393302	-0.17125015	-0.3388913	0.057314098	-0.40583542	-0.8061756	0.26794124	0.13776252	-0.6420249	-0.55169934	-0.31965995	0.10484095	-0.7157639	-0.06370932	-0.34684935	-0.28236446	0.54161495	-0.04286421	-1.1017498	-0.69581634	-0.328781	0.86732984	-0.027998658	-0.42135894	0.39240107	1.2520064	0.27978694	0.3459436	0.25479743	0.55077106	-0.22105029	0.52220315	-0.121502124	1.164877	0.32421717	0.42957476	-0.16242726	-0.60241234	0.10643183	0.23412094	-0.18304193	-0.5343922	0.13681984	-0.28922543	-0.5620126	-0.8150638	0.46221584	-0.27870747	0.13274288	-0.36897993	0.14958331	-0.056803904	0.36178672	-0.2552174	0.3797638	-0.37334517	0.74112874	-0.25826845	-0.49407393	0.28196847	-0.7490335	-0.43832374	0.64381063	0.45648545	0.09505874	1.098081	-0.06273858	0.5109953	-0.16408676	-0.79785883	-0.60721314	-0.32488695	0.03371778	-0.51411575	-0.37152332	0.17122307	-0.587411	0.7092653	-0.141325	-0.011743897	0.004053077	0.92741835	0.44747946	-0.817527	0.36303478	0.39014494	0.8236493	-0.19198486	0.06939144	0.15036958	0.1820404	0.0
GSM6249401	1.0108082	0.47592673	-0.23820883	-1.1683854	0.4548634	-0.1610492	0.34953794	-0.076854244	0.05623255	-0.87905633	0.45379686	-0.92238325	0.32806385	0.28030434	-0.36779556	-0.6645942	0.012250421	0.18943395	-0.23223116	0.08474288	-0.6465828	0.72999096	-0.006350887	0.15233749	-0.3551476	0.6482798	-0.7844478	0.43134713	-0.0351599	-0.6796493	-0.31620726	-0.2612097	0.7484696	-0.44649297	-0.27213833	-1.0163231	-0.24345739	-0.32049784	0.23133454	-0.29882634	-0.17477223	0.16454463	-0.70683813	0.06867971	-0.83752257	-0.8998985	0.15683092	-0.43473804	0.4472491	0.22610183	0.7965718	0.24430652	-0.32134953	0.19692843	0.7025904	-0.20549123	0.010619872	0.9131358	0.23205325	-0.75145966	0.61463046	-0.78885627	-1.0250024	0.2629961	-0.17894931	-0.4015688	1.0611278	-0.34265256	0.63057023	0.19963469	0.27460694	0.043970566	-0.03560919	0.08031036	0.006218432	-0.7130225	-0.063954614	0.2743227	0.120879844	-1.030999	-0.5618483	-0.0768999	-0.032884803	0.181713	-0.17963976	-0.26288638	0.27552626	-0.4260163	-0.42607462	-0.26682454	-0.2672835	-0.1120624	-0.26495993	0.02479095	-0.24044938	0.18465519	0.3017128	-0.1795873	0.05145897	0.036416933	0.0
GSM6249402	0.3295718	0.3127292	0.11460929	-0.30516765	-0.16952278	0.71818376	0.0804173	-0.36505407	1.1980854	0.08740973	-0.30825824	1.004349	-0.14504352	0.9655853	1.2491757	-0.19677916	-1.0326047	0.38246506	0.26742163	0.40752053	0.7596423	1.1502223	-0.061431795	0.5511344	-0.021087004	-0.4680298	-0.56257147	0.13907425	-0.64204717	-0.16606984	-0.32903597	-0.120646365	0.50502366	-0.34286243	-0.21535367	-0.24676928	-0.5294868	-0.89295334	-0.5979277	0.056101773	1.0050057	-0.25957245	-0.1964635	-0.5343477	0.20482801	-0.13686979	-0.36128664	0.8925436	-0.5119716	0.95130605	0.8991046	0.8235467	-0.50797725	0.24253115	-0.59838563	-0.239102	-0.027162109	-0.35982665	0.6783907	-0.12660055	-0.07060877	0.40171173	0.7960227	0.36924207	-0.2053788	-0.81030947	-0.0051435716	0.513213	-0.27277482	0.48230657	0.3544972	-0.095086314	0.39886707	-0.42819273	-0.060205724	-0.26900238	-0.121146776	0.5209454	0.006569416	-0.59388864	0.09982069	-0.25410935	-0.37508723	0.6998667	0.17939657	-0.23988454	0.5463677	0.42917156	-0.22934195	-0.433293	-0.3734723	-0.05920346	0.13523002	-0.44528285	-0.10434619	-0.044541616	-0.5371433	0.5363471	0.07563573	0.22419707	0.0
